Date,Close,High,Low,Open,Volume,sector
,VOO,VOO,VOO,VOO,VOO,ETF
2017-11-16,209.5308074951172,209.87482066908913,208.6134435177156,208.63108901523418,1072300,ETF
2017-11-17,208.9663543701172,209.39858174101602,208.86932428520421,209.2045215711901,1370500,ETF
2017-11-20,209.23980712890625,209.46914484200934,208.9310713777965,209.1604090908996,1420400,ETF
2017-11-21,210.63345336914062,210.81869747742093,209.936610877097,209.9895339195847,1151500,ETF
2017-11-22,210.48353576660156,210.77462600895836,210.32476661235728,210.69524143183622,2143500,ETF
2017-11-24,210.924560546875,211.06569764458933,210.80989843210972,210.924560546875,1219300,ETF
2017-11-27,210.86280822753906,211.28620603449994,210.66874809527081,210.98629981538488,2654000,ETF
2017-11-28,212.95333862304688,213.00626166384166,211.20681097895442,211.33911858094137,1800500,ETF
2017-11-29,212.87399291992188,213.6237585673319,212.44176557524406,213.1121601065464,2442100,ETF
2017-11-30,214.65577697753906,215.58195712902327,213.6678308446103,213.72958336648162,5451700,ETF
2017-12-01,214.25881958007812,214.97332099818493,211.27737616618987,214.56755525924427,3775600,ETF
2017-12-04,214.0294952392578,216.17297270781927,213.98538821669322,215.84659150850027,2162000,ETF
2017-12-05,213.2709197998047,214.85867854092896,213.13861217953385,214.26768207109447,1886300,ETF
2017-12-06,213.2620849609375,213.69429878873538,212.8739646962894,213.22679395892933,1204800,ETF
2017-12-07,213.96775817871094,214.26766439964035,213.06802605634897,213.1915176449419,2670000,ETF
2017-12-08,215.132080078125,215.15854159686742,214.52343822790482,214.74395985713983,1685700,ETF
2017-12-11,215.8289794921875,215.85545447749251,215.14095290407218,215.24681246656536,2513300,ETF
2017-12-12,216.19943237304688,216.6228301749694,215.83777363452575,216.05829528588154,1855000,ETF
2017-12-13,216.14651489257812,216.81690938582457,216.08477582374337,216.42878909175022,1808300,ETF
2017-12-14,215.2908935546875,216.53462549283316,215.22914102904267,216.46405694619935,1932900,ETF
2017-12-15,217.0991668701172,217.47847113712038,216.1729866344611,216.24354172362155,3170800,ETF
2017-12-18,218.4487762451172,218.76632801058045,218.27236158865438,218.33411412118292,2089600,ETF
2017-12-19,217.65489196777344,218.7133933097443,217.5490458714488,218.68693178566315,3170300,ETF
2017-12-20,217.48727416992188,218.55460489888063,217.231474973162,218.5104978761086,2570000,ETF
2017-12-21,217.9283447265625,218.58990977213875,217.7166525261063,218.06948183325017,2262400,ETF
2017-12-22,217.88424682617188,217.9901063904101,217.38146436944984,217.95481538247205,1888500,ETF
2017-12-26,217.63070678710938,217.78139565023895,217.38253404986042,217.73707619193024,1492300,ETF
